A:PPT页,B:第几条,C:引用语义,D:PPT引文完整字段,E:DOI,F:类型,G:对应PDF文件,H:来源链接
11,6,,"Luzzatto L, et al. Lancet. 2008;371(9606):64-74.",10.1242/jeb.013219,LITERATURE,,DOI: 10.1242/jeb.013219 | https://pubmed.ncbi.nlm.nih.gov/?term=10.1242/jeb.013219 | https://europepmc.org/search?query=10.1242/jeb.013219 | https://doi.org/10.1242/jeb.013219
11,7,,"Yerigeri K, et al. J Multidiscip Healthc. 2023;16:2233-2249.",10.2147/JMDH.S245620,LITERATURE,Pn-S11_7.pdf,DOI: 10.2147/JMDH.S245620 | https://pubmed.ncbi.nlm.nih.gov/?term=10.2147/JMDH.S245620 | https://europepmc.org/search?query=10.2147/JMDH.S245620 | https://doi.org/10.2147/JMDH.S245620
12,2,,"中华血液学杂志, 2017, 38(005):361-363.",,LITERATURE,Pn-S12_2.pdf,
12,3,,UpToDate. Diagnosis of hemolytic anemia in adults[OL]. UpToDate. 2025-12-4[引用日期：2026-05-18]. https://www.uptodate.com/contents/diagnosis-of-hemolytic-anemia-in-adults?search=adult%20MAHA%20diagnose&source=search_result&selectedTitle=14~150&usage_type=default&display_rank=14,,LITERATURE,,
13,1,,"焦扬, 等. 外周血破碎红细胞比例与移植相关血栓性微血管病患者临床特点的相关性分析. 现代肿瘤医学. 2023;31(10):1886-1889.",,LITERATURE,,
13,2,,"Martinez MT, et al. Bone Marrow Transplant. 2005;36:993-1000.",16184183,LITERATURE,,https://doi.org/16184183
14,1,,"Nguyen TC, et al. Crit Care. 2006;10(6):235.",17096864,LITERATURE,Pn-S14_1.pdf,https://doi.org/17096864
14,2,,"Brocklebank V, et al. Clin J Am Soc Nephrol. 2018 Feb 7;13(2):300-317.",10.2215/CJN.00620117,LITERATURE,Pn-S14_2.pdf,DOI: 10.2215/CJN.00620117 | https://pubmed.ncbi.nlm.nih.gov/?term=10.2215/CJN.00620117 | https://europepmc.org/search?query=10.2215/CJN.00620117 | https://doi.org/10.2215/CJN.00620117
14,3,,"Thompson GL, et al. Int J Lab Hematol. 2022 Sep;44 Suppl 1(Suppl 1):101-113.",10.1111/ijlh.13954,LITERATURE,Pn-S14_3.pdf,DOI: 10.1111/ijlh.13954 | https://pubmed.ncbi.nlm.nih.gov/?term=10.1111/ijlh.13954 | https://europepmc.org/search?query=10.1111/ijlh.13954 | https://doi.org/10.1111/ijlh.13954
15,1,,"Nickeleit, Volker. “Thrombotic Microangiopathy in Renal Allografts.” (2007).",,LITERATURE,Pn-S15_1.pdf,
15,2,,"Prasad C, et al. Pediatric Nephrology, 2020;35(10):1857-1864.",10.1007/s00467-020-04515-5,LITERATURE,,DOI: 10.1007/s00467-020-04515-5 | https://pubmed.ncbi.nlm.nih.gov/?term=10.1007/s00467-020-04515-5 | https://europepmc.org/search?query=10.1007/s00467-020-04515-5 | https://doi.org/10.1007/s00467-020-04515-5
16,1,,"Trojnar E, et al. Frontiers in immunology. 2019;10:240.",10.3389/fimmu.2019.00240,LITERATURE,Pn-S16_1.pdf,DOI: 10.3389/fimmu.2019.00240 | https://pubmed.ncbi.nlm.nih.gov/?term=10.3389/fimmu.2019.00240 | https://europepmc.org/search?query=10.3389/fimmu.2019.00240 | https://doi.org/10.3389/fimmu.2019.00240
17,1,,"中华医学会血液学分会血栓与止血学组. 中华血液学杂志. 2022;43(1):6.2. Zheng XL, et al. J Thromb Haemost. 2020 Oct;18(10):2486-2495.",,LITERATURE,,
17,3,,George J N. New England Journal of Medicine. 2006; 354(18):1927-1935.,17079761,LITERATURE,,https://doi.org/17079761
17,4,,"Issa L, et al. Cureus. 2024 May 14;16(5):e60259.",10.7759/cureus.72098,LITERATURE,Pn-S17_4.pdf,DOI: 10.7759/cureus.72098 | https://pubmed.ncbi.nlm.nih.gov/?term=10.7759/cureus.72098 | https://europepmc.org/search?query=10.7759/cureus.72098 | https://doi.org/10.7759/cureus.72098
18,1,,"Zheng XL, et al. J Thromb Haemost. 2020 Oct;18(10):2486-2495.",10.1111/jth.15006,LITERATURE,Pn-S18_1.pdf,DOI: 10.1111/jth.15006 | https://pubmed.ncbi.nlm.nih.gov/?term=10.1111/jth.15006 | https://europepmc.org/search?query=10.1111/jth.15006 | https://doi.org/10.1111/jth.15006
